sample,baseline_psnr,dip_psnr,baseline_ssim,dip_ssim,baseline_lpips,dip_lpips,num_patches
0001x8,15.5288,26.1950,0.2971,0.6369,0.7944,0.4681,48
0002x8,18.6547,23.7622,0.4212,0.5658,0.8747,0.6435,64
0003x8,12.8660,22.8464,0.2854,0.6019,0.8756,0.5000,48
0004x8,18.7744,28.5945,0.7512,0.8398,0.4913,0.3789,48
0005x8,14.0812,26.7832,0.2635,0.8002,0.8183,0.2885,56
0006x8,14.0961,30.2412,0.5487,0.8491,0.6706,0.3542,48
0007x8,14.4102,22.0649,0.2443,0.4690,0.9759,0.6911,48
0008x8,12.5676,25.3947,0.3350,0.6556,0.8101,0.4456,48
0009x8,10.6943,23.0232,0.3485,0.6534,0.8528,0.4449,48
0010x8,13.3746,26.4997,0.4237,0.6695,0.7628,0.4943,56
0011x8,13.9099,24.8793,0.2414,0.7189,0.7923,0.3953,48
0012x8,11.5736,24.2507,0.3051,0.7416,0.7287,0.3660,48
0013x8,17.0592,25.4138,0.8447,0.9126,0.2650,0.1678,48
0014x8,12.9514,25.3202,0.3522,0.6168,0.9100,0.6464,48
0015x8,12.7970,23.4878,0.3205,0.7271,0.7611,0.3697,48
0016x8,14.1847,26.2372,0.3767,0.6752,0.7733,0.4839,48
0017x8,14.8267,26.5379,0.4085,0.6806,0.7015,0.4373,48
0018x8,11.4242,25.3716,0.3219,0.7809,0.8088,0.3600,48
0019x8,11.9723,24.5414,0.2266,0.5691,0.8462,0.5564,48
0020x8,16.1445,31.7308,0.5171,0.8885,0.6567,0.2615,48
0021x8,13.6687,24.8759,0.4793,0.7261,0.6688,0.3431,24
0022x8,12.3370,22.0861,0.2518,0.5770,0.9563,0.5328,32
0023x8,18.3194,34.7940,0.7264,0.9221,0.4234,0.2367,48
0024x8,12.0128,28.1108,0.3144,0.7182,0.8279,0.4371,48
0025x8,14.6285,27.9045,0.3867,0.6690,0.8877,0.5442,40
0026x8,11.8524,20.3328,0.1958,0.5472,0.9141,0.5667,48
0027x8,15.1798,26.7713,0.6092,0.8373,0.6255,0.3736,48
0028x8,12.8724,28.7602,0.5182,0.8204,0.7450,0.3699,64
0029x8,11.4727,19.3378,0.1238,0.4977,0.9740,0.5063,48
0030x8,13.7850,26.2344,0.3877,0.6664,0.8340,0.4612,40
0031x8,13.8660,24.3469,0.3209,0.6294,0.8150,0.4617,48
0032x8,19.4036,29.4642,0.6059,0.7597,0.6320,0.4556,48
0033x8,11.0947,25.0867,0.3709,0.7856,0.7927,0.3456,48
0034x8,10.0133,22.0184,0.1827,0.5978,0.9308,0.4725,48
0035x8,15.4484,24.7886,0.4214,0.6896,0.7296,0.4691,48
0036x8,18.0739,28.9057,0.7591,0.8641,0.3697,0.2145,48
0037x8,15.6639,28.4539,0.5266,0.7700,0.6415,0.3792,48
0038x8,10.6757,25.4600,0.2729,0.7580,0.8620,0.2081,40
0039x8,16.6898,25.9621,0.5250,0.6903,0.6280,0.4090,48
0040x8,21.7084,33.5148,0.8195,0.8854,0.4894,0.4142,48
0041x8,14.3536,29.2528,0.5129,0.7489,0.7890,0.4711,48
0042x8,12.8784,23.6873,0.3050,0.6750,0.8504,0.5081,48
0043x8,15.7842,27.3990,0.5399,0.8519,0.5322,0.2128,48
0044x8,11.8551,27.9665,0.2978,0.7922,0.7539,0.3056,64
0045x8,13.6593,22.8546,0.4108,0.6577,0.7959,0.4712,40
0046x8,16.5852,28.7796,0.3887,0.7249,0.7778,0.4743,48
0047x8,15.5576,28.1511,0.5576,0.8350,0.6978,0.3719,48
0048x8,18.7848,33.0108,0.7847,0.8822,0.3395,0.1906,48
0049x8,16.1307,25.3273,0.5464,0.7411,0.5815,0.3528,48
0050x8,13.2317,28.6300,0.4454,0.7761,0.7813,0.3776,48
0051x8,14.5366,23.7344,0.4119,0.6227,0.7437,0.5022,48
0052x8,13.2280,22.6432,0.1876,0.5776,0.9512,0.5406,48
0053x8,15.3742,25.7892,0.5054,0.7426,0.6366,0.3983,48
0054x8,16.2750,22.9290,0.1594,0.5409,0.7305,0.4388,48
0055x8,18.7681,32.4382,0.6932,0.8402,0.5863,0.4501,40
0056x8,13.6301,23.7801,0.4939,0.7762,0.6052,0.3121,48
0057x8,19.5138,29.2973,0.7864,0.8674,0.3935,0.2849,48
0058x8,12.8677,29.9265,0.5281,0.8525,0.6849,0.2739,48
0059x8,17.3335,29.2103,0.5710,0.7736,0.6770,0.4574,56
0060x8,12.0779,24.7243,0.5077,0.7747,0.7690,0.4324,40
0061x8,15.4016,25.4804,0.3497,0.8136,0.7841,0.2693,40
0062x8,18.0446,25.6968,0.5334,0.6292,0.7085,0.5399,48
0063x8,11.0824,18.3487,0.0663,0.4684,0.8869,0.4338,56
0064x8,15.9592,32.5377,0.5747,0.8791,0.5560,0.2826,48
0065x8,17.3784,21.7560,0.2134,0.4237,1.1107,0.7987,40
0066x8,13.8964,23.9137,0.2840,0.6483,0.8438,0.4758,48
0067x8,15.7958,30.6848,0.6046,0.7780,0.6821,0.3967,48
0068x8,16.9883,30.3358,0.6507,0.8498,0.6440,0.3234,48
0069x8,9.7357,22.2422,0.2477,0.7124,0.8777,0.3628,40
0070x8,12.4339,20.2629,0.3618,0.6106,0.7703,0.4425,48
0071x8,13.6414,26.0282,0.3195,0.6689,0.8222,0.4847,48
0072x8,16.8303,25.2518,0.4866,0.6876,0.6961,0.4562,48
0073x8,13.6381,23.5014,0.3993,0.6376,0.7291,0.4394,40
0074x8,16.0984,26.4520,0.3886,0.6571,0.8091,0.5198,48
0075x8,12.3954,21.1159,0.1504,0.5361,0.9277,0.5284,48
0076x8,16.5323,24.8212,0.3957,0.5912,0.7827,0.5724,56
0077x8,18.3459,33.3186,0.7408,0.9034,0.5212,0.3466,48
0078x8,13.8032,22.8978,0.2164,0.5630,0.9175,0.5698,48
0079x8,19.4902,25.9640,0.5812,0.7078,0.6861,0.4853,48
0080x8,17.4609,27.3212,0.6335,0.8205,0.4700,0.2875,48
0081x8,13.1028,28.1521,0.4533,0.8280,0.6307,0.2589,48
0082x8,11.3589,23.4730,0.2520,0.6958,0.9496,0.4782,40
0083x8,14.7864,24.4242,0.3440,0.6164,0.9131,0.5886,40
0084x8,19.5853,28.0710,0.5829,0.7457,0.5277,0.3539,48
0085x8,14.0102,30.4083,0.6595,0.8893,0.5528,0.1978,48
0086x8,12.9197,22.0758,0.4215,0.6559,0.7469,0.4464,48
0087x8,14.7979,30.8014,0.5957,0.7603,0.7716,0.4699,48
0088x8,9.9649,24.1694,0.2989,0.7108,0.7813,0.2975,48
0089x8,13.8282,28.1483,0.3564,0.7464,0.7745,0.4480,48
0090x8,11.3952,28.4657,0.3861,0.7983,0.6878,0.3079,48
0091x8,18.3555,27.7518,0.6181,0.7982,0.5659,0.3956,48
0092x8,14.4068,24.7742,0.5829,0.7510,0.6421,0.3416,40
0093x8,12.4040,22.9121,0.2154,0.5715,0.8840,0.4944,48
0094x8,9.7977,24.0971,0.2179,0.6799,0.8803,0.3846,40
0095x8,17.0238,28.5032,0.5749,0.7468,0.6157,0.4270,48
0096x8,12.3234,26.2231,0.3164,0.7395,0.7691,0.3617,48
0097x8,14.4967,26.6410,0.3994,0.7960,0.6482,0.3508,40
0098x8,13.6522,27.4462,0.3560,0.6992,0.7849,0.4651,48
0099x8,9.4358,26.2659,0.2910,0.6706,0.8521,0.5523,48
0100x8,15.7192,28.0824,0.4755,0.7341,0.6941,0.4243,48
0101x8,12.2748,23.7576,0.4830,0.6732,0.5720,0.2520,48
0102x8,14.5789,22.8805,0.2346,0.5258,0.9311,0.6270,48
0103x8,15.7076,25.6517,0.5203,0.7075,0.7260,0.4634,40
0104x8,15.6296,22.5643,0.3463,0.6052,0.9055,0.5641,48
0105x8,18.4024,28.5583,0.4537,0.6191,0.7733,0.6066,40
0106x8,17.8322,25.5945,0.5701,0.7161,0.5702,0.3596,40
0107x8,12.9695,19.4522,0.1861,0.4581,0.9513,0.6270,48
0108x8,12.9787,23.0718,0.3987,0.7185,0.7555,0.4165,48
0109x8,12.6741,33.3938,0.6081,0.9105,0.5017,0.1333,48
0110x8,15.4609,30.2852,0.5596,0.8333,0.7005,0.3806,48
0111x8,12.3170,23.9886,0.4509,0.7814,0.6528,0.2933,48
0112x8,15.2206,31.8175,0.5556,0.8219,0.6381,0.4152,48
0113x8,15.3063,25.8619,0.3951,0.6856,0.7510,0.4845,48
0114x8,11.7290,28.3764,0.4804,0.8168,0.7332,0.3321,48
0115x8,17.0366,27.5022,0.6159,0.6687,0.4975,0.2867,48
0116x8,11.8804,25.8874,0.4880,0.8002,0.6490,0.3009,48
0117x8,15.2474,24.8298,0.4208,0.6218,0.6691,0.4516,48
0118x8,14.6237,27.8389,0.6403,0.8024,0.6738,0.4607,48
0119x8,14.9556,24.0526,0.5468,0.7654,0.6010,0.3582,48
0120x8,15.7682,31.0839,0.5674,0.8265,0.6726,0.3283,48
0121x8,15.7600,32.3211,0.7523,0.9133,0.4238,0.1951,48
0122x8,11.8586,23.3468,0.2624,0.6715,0.8468,0.4030,32
0123x8,12.2662,28.0049,0.4216,0.7044,0.7870,0.5072,48
0124x8,19.6678,31.5129,0.5579,0.8474,0.6361,0.3317,48
0125x8,12.9802,26.9915,0.3905,0.7461,0.7850,0.3821,48
0126x8,13.7608,26.6405,0.2942,0.6948,0.7978,0.3806,48
0127x8,16.0495,27.7749,0.6094,0.8247,0.6659,0.3580,48
0128x8,15.8071,28.3930,0.5973,0.7864,0.5714,0.3578,40
0129x8,13.7800,21.9670,0.1945,0.4576,0.9596,0.6736,48
0130x8,12.1588,28.5566,0.4650,0.8053,0.6599,0.4034,48
0131x8,18.8929,26.6921,0.5754,0.6978,0.5471,0.3920,48
0132x8,15.5504,23.9671,0.3101,0.6427,0.8541,0.4067,40
0133x8,12.9431,29.4727,0.6168,0.8765,0.5476,0.2315,48
0134x8,13.0759,25.7042,0.4614,0.7460,0.7298,0.3671,56
0135x8,12.7386,25.3875,0.2232,0.6635,0.7603,0.4602,48
0136x8,20.4469,33.0375,0.7921,0.8895,0.4161,0.3005,48
0137x8,11.9996,25.5000,0.3704,0.8103,0.7331,0.3151,48
0138x8,25.3947,34.7611,0.8091,0.9054,0.4351,0.2174,48
0139x8,11.9939,22.1031,0.1720,0.5128,0.9267,0.5501,32
0140x8,14.1375,23.4274,0.2040,0.6127,0.8571,0.5133,48
0141x8,16.8207,24.5561,0.4109,0.6425,0.7647,0.4836,48
0142x8,14.4907,21.0568,0.3455,0.5458,0.8399,0.5354,48
0143x8,14.1755,26.0830,0.3211,0.6063,0.9007,0.5996,48
0144x8,9.6376,22.4231,0.1699,0.6887,0.9283,0.4220,48
0145x8,14.0810,21.3388,0.4106,0.6042,0.6978,0.4535,24
0146x8,14.0981,22.3058,0.4223,0.6347,0.7272,0.4632,48
0147x8,12.8240,23.5235,0.3248,0.5978,0.8641,0.4974,56
0148x8,12.0355,24.3918,0.4444,0.7408,0.6556,0.3448,48
0149x8,12.4110,22.4298,0.3745,0.6731,0.7884,0.3863,56
0150x8,19.8774,26.6228,0.7763,0.8642,0.4526,0.3439,40
0151x8,13.4204,21.9944,0.2842,0.6336,0.8861,0.5101,48
0152x8,15.2098,32.1969,0.5045,0.8511,0.6423,0.3799,48
0153x8,13.4786,27.0992,0.4934,0.7733,0.7113,0.3439,48
0154x8,16.5706,26.7738,0.6180,0.8524,0.5173,0.2189,48
0155x8,13.4576,25.3888,0.4668,0.7973,0.6205,0.2986,64
0156x8,14.4966,27.0249,0.5680,0.8386,0.6244,0.3180,48
0157x8,17.3198,33.8354,0.7762,0.9237,0.4806,0.2524,48
0158x8,12.9192,24.1806,0.3834,0.7044,0.8246,0.3875,40
0159x8,14.8203,28.1403,0.5200,0.7070,0.6886,0.4345,48
0160x8,12.6323,23.5797,0.2097,0.5573,0.8483,0.4909,48
0161x8,15.4524,25.3046,0.4856,0.6384,0.7331,0.4661,40
0162x8,10.6966,24.3972,0.2093,0.7207,0.8375,0.3344,48
0163x8,16.0597,25.5520,0.5455,0.8186,0.5536,0.3452,48
0164x8,14.9284,28.2956,0.6805,0.9039,0.5320,0.2737,48
0165x8,13.2129,31.9576,0.6043,0.8629,0.6520,0.3439,48
0166x8,13.7920,22.0401,0.3808,0.7272,0.6697,0.3065,48
0167x8,15.8643,32.1926,0.7067,0.9156,0.4849,0.2420,48
0168x8,14.6057,31.8090,0.6483,0.8970,0.5794,0.2442,48
0169x8,12.3636,27.3405,0.3258,0.7403,0.7954,0.3957,48
0170x8,9.9226,22.4671,0.3154,0.7777,0.7577,0.2626,40
0171x8,16.7944,25.6436,0.4852,0.7043,0.7080,0.4604,48
0172x8,15.6064,25.5764,0.4934,0.7440,0.7057,0.3802,40
0173x8,13.4557,23.8319,0.3251,0.6385,0.8554,0.4854,48
0174x8,18.5289,25.5424,0.3120,0.5605,0.7796,0.5649,40
0175x8,18.0160,23.6349,0.3700,0.5578,0.8442,0.6048,40
0176x8,13.8017,22.2676,0.4604,0.6157,0.6331,0.3528,56
0177x8,15.6881,30.5216,0.7327,0.9001,0.3880,0.2096,48
0178x8,13.0214,25.5051,0.3147,0.6371,0.8559,0.5117,48
0179x8,17.4432,27.6814,0.4400,0.6750,0.8356,0.5876,48
0180x8,13.3008,27.7273,0.5592,0.7852,0.6655,0.4228,48
0181x8,15.2247,26.2187,0.3343,0.6132,0.8550,0.5427,48
0182x8,10.0842,22.2694,0.0904,0.6096,0.9521,0.4368,40
0183x8,15.1104,25.9727,0.2897,0.6199,0.8564,0.5359,48
